Name "YT Scope Project" 
File "H:\mscthesisgeert\MScThesisTemplate\Code\AGC_functions\dSPACE_TwinCAT_recordings\NoiseMeas0V_2.csv" 
"Starttime of export" 133014769934170000 "dinsdag 5 juli 2022" 08:43:13.417 
"Endtime of export" 133014770241547049 "dinsdag 5 juli 2022" 08:43:44.154 


Name AI_df1 AI_df2 AI_dPtie1

7870 -2 1 -14
7880 -2 0 -15
7890 -4 -4 -13
7900 -2 -5 -12
7910 -2 -2 -14
7920 -2 0 -17
7930 -4 0 -14
7940 -3 0 -13
7950 -2 -4 -14
7960 -3 -5 -15
7970 -4 0 -14
7980 -4 1 -12
7990 -3 -2 -15
8000 -3 0 -15
8010 -4 -2 -14
8020 -5 -2 -15
8030 -4 -3 -14
8040 -3 -5 -13
8050 -3 -4 -14
8060 -4 -3 -15
8070 -4 0 -14
8080 -4 0 -14
8090 -4 -2 -14
8100 -3 1 -14
8110 -3 2 -17
8120 -5 -2 -17
8130 -5 -6 -17
8140 -5 -5 -17
8150 -5 -5 -18
8160 -4 -5 -18
8170 -4 -2 -14
8180 -3 -2 -12
8190 -3 -3 -12
8200 -3 -2 -13
8210 -2 0 -12
8220 -3 0 -11
8230 -5 1 -14
8240 -4 0 -15
8250 -2 -2 -13
8260 -3 -2 -13
8270 -3 -4 -13
8280 -2 -4 -12
8290 -3 -3 -14
8300 -4 -4 -17
8310 -4 -6 -15
8320 -4 -4 -15
8330 -5 -2 -15
8340 -5 0 -14
8350 -4 -3 -17
8360 -3 -3 -17
8370 -3 -3 -15
8380 -4 -3 -13
8390 -4 -4 -14
8400 -2 -5 -15
8410 -3 -2 -15
8420 -5 1 -13
8430 -6 -2 -12
8440 -5 -2 -13
8450 -5 0 -12
8460 -5 -3 -13
8470 -3 -3 -14
8480 -3 -3 -13
8490 -4 -4 -14
8500 -4 -4 -15
8510 -4 0 -15
8520 -3 -3 -18
8530 -4 -3 -17
8540 -4 -2 -15
8550 -4 -5 -15
8560 -5 -6 -13
8570 -4 -3 -13
8580 -3 1 -15
8590 -4 0 -17
8600 -5 -4 -17
8610 -4 -4 -15
8620 -4 -3 -14
8630 -4 -2 -12
8640 -4 -2 -12
8650 -3 -3 -14
8660 -3 -2 -15
8670 -4 -3 -17
8680 -5 -2 -14
8690 -3 0 -13
8700 -3 0 -14
8710 -5 2 -12
8720 -4 3 -11
8730 -5 0 -13
8740 -5 -2 -14
8750 -2 0 -13
8760 -2 0 -14
8770 -3 -3 -14
8780 -3 -3 -14
8790 -4 -3 -17
8800 -5 -4 -15
8810 -5 -4 -15
8820 -4 -4 -18
8830 -4 -3 -13
8840 -4 -3 -13
8850 -3 -3 -17
8860 -3 -2 -14
8870 -3 -2 -14
8880 -3 -2 -15
8890 -5 -4 -15
8900 -4 -3 -14
8910 -3 0 -15
8920 -3 -3 -17
8930 -3 -4 -17
8940 -4 -2 -18
8950 -3 -2 -15
8960 -3 1 -13
8970 -3 0 -13
8980 -4 -3 -14
8990 -6 0 -15
9000 -5 0 -15
9010 -4 -4 -15
9020 -3 -5 -14
9030 -3 -3 -13
9040 -5 -3 -13
9050 -3 -3 -14
9060 -3 -3 -14
9070 -4 -3 -14
9080 -4 -3 -14
9090 -5 -3 -15
9100 -5 -2 -15
9110 -4 -3 -15
9120 -4 -3 -17
9130 -4 -2 -15
9140 -4 0 -13
9150 -4 1 -14
9160 -4 0 -14
9170 -4 -2 -14
9180 -3 0 -15
9190 -5 -2 -13
9200 -5 -2 -13
9210 -4 1 -17
9220 -4 1 -15
9230 -4 -2 -15
9240 -3 -3 -17
9250 -4 -2 -14
9260 -5 0 -14
9270 -4 2 -13
9280 -4 1 -14
9290 -4 -3 -15
9300 -3 0 -14
9310 -3 0 -13
9320 -3 -2 -12
9330 -4 -3 -15
9340 -5 -4 -15
9350 -4 -2 -13
9360 -4 0 -15
9370 -5 -2 -15
9380 -4 -2 -15
9390 -4 0 -15
9400 -4 -3 -14
9410 -3 -3 -13
9420 -3 -2 -14
9430 -4 0 -13
9440 -4 1 -11
9450 -5 0 -12
9460 -4 0 -13
9470 -3 0 -14
9480 -3 -2 -15
9490 -2 -3 -14
9500 -3 -4 -14
9510 -3 -4 -15
9520 -2 -4 -15
9530 -5 0 -13
9540 -4 0 -13
9550 -2 -2 -14
9560 -4 -3 -15
9570 -5 -4 -18
9580 -3 0 -15
9590 -3 0 -13
9600 -4 -4 -15
9610 -4 -5 -17
9620 -4 -3 -15
9630 -4 0 -13
9640 -3 0 -14
9650 -3 -3 -15
9660 -5 -4 -15
9670 -5 -6 -14
9680 -4 -4 -13
9690 -5 -2 -14
9700 -5 -2 -14
9710 -4 -3 -14
9720 -5 -4 -14
9730 -5 -3 -14
9740 -3 -3 -14
9750 -4 -5 -13
9760 -5 -5 -13
9770 -4 -4 -14
9780 -3 0 -15
9790 -4 0 -17
9800 -5 -2 -13
9810 -3 -2 -13
9820 -3 -4 -14
9830 -4 -4 -13
9840 -4 -3 -13
9850 -5 -2 -13
9860 -5 -2 -14
9870 -3 -3 -14
9880 -2 -2 -12
9890 -4 -2 -11
9900 -6 -3 -13
9910 -4 -4 -14
9920 -4 -4 -15
9930 -5 -5 -15
9940 -4 -5 -14
9950 -5 -3 -14
9960 -6 -3 -14
9970 -4 -3 -14
9980 -4 -4 -17
9990 -5 -5 -17
10000 -5 -3 -15
10010 -6 -4 -17
10020 -7 -3 -15
10030 -5 -4 -15
10040 -4 -4 -17
10050 -3 -2 -15
10060 -4 0 -14
10070 -5 1 -13
10080 -5 0 -13
10090 -6 -3 -14
10100 -5 -3 -14
10110 -4 -3 -14
10120 -4 0 -14
10130 -5 1 -15
10140 -5 -2 -14
10150 -5 -2 -13
10160 -6 0 -13
10170 -4 -2 -14
10180 -4 -3 -13
10190 -4 -2 -12
10200 -4 -2 -13
10210 -5 -2 -17
10220 -4 -2 -17
10230 -4 -2 -15
10240 -5 0 -14
10250 -5 -3 -14
10260 -4 -6 -13
10270 -6 -5 -15
10280 -5 -2 -15
10290 -5 -3 -14
10300 -4 -3 -14
10310 -3 -2 -13
10320 -3 -3 -13
10330 -3 -3 -13
10340 -3 -3 -15
10350 -3 -3 -17
10360 -4 -3 -17
10370 -4 -4 -15
10380 -3 0 -14
10390 -3 -2 -12
10400 -4 -5 -12
10410 -3 -3 -13
10420 -3 -2 -13
10430 -3 -3 -15
10440 -4 -3 -14
10450 -4 -2 -12
10460 -3 -3 -14
10470 -2 -3 -14
10480 -2 -3 -15
10490 -3 -4 -12
10500 -5 -4 -12
10510 -6 -5 -14
10520 -5 -4 -15
10530 -4 -2 -17
10540 -3 -4 -17
10550 -3 -5 -13
10560 -3 -3 -11
10570 -3 -3 -14
10580 -4 -2 -14
10590 -4 -3 -14
10600 -4 -5 -15
10610 -4 -7 -17
10620 -6 -6 -14
10630 -6 -4 -11
10640 -5 -5 -14
10650 -5 -6 -17
10660 -5 -4 -14
10670 -3 -2 -13
10680 -3 -5 -13
10690 -4 -6 -13
10700 -4 -3 -14
10710 -4 -2 -15
10720 -4 1 -17
10730 -3 0 -14
10740 -3 -2 -14
10750 -3 -3 -15
10760 -4 -3 -14
10770 -3 -4 -15
10780 -3 -3 -17
10790 -3 -2 -15
10800 -4 -4 -12
10810 -5 -4 -13
10820 -4 0 -17
10830 -5 0 -17
10840 -5 0 -17
10850 -4 -3 -15
10860 -5 -6 -15
10870 -5 -6 -15
10880 -4 -5 -15
10890 -3 -3 -15
10900 -5 -4 -17
10910 -5 -5 -18
10920 -3 -3 -13
10930 -2 0 -12
10940 -2 -2 -15
10950 -4 -4 -15
10960 -5 -2 -13
10970 -4 -2 -12
10980 -4 -4 -13
10990 -5 0 -12
11000 -4 0 -12
11010 -3 -2 -14
11020 -2 0 -14
11030 -3 -3 -13
11040 -3 -3 -14
11050 -4 -4 -17
11060 -4 -4 -17
11070 -3 -2 -14
11080 -2 0 -13
11090 -4 0 -12
11100 -4 0 -14
11110 -3 0 -17
11120 -3 -4 -15
11130 0 -5 -14
11140 0 -4 -14
11150 -3 -2 -12
11160 -4 1 -12
11170 -4 -2 -13
11180 -3 -3 -12
11190 -4 -3 -12
11200 -5 -2 -12
11210 -4 -2 -13
11220 -4 -2 -12
11230 -4 0 -12
11240 -4 -2 -13
11250 -4 -4 -13
11260 -4 -4 -11
11270 -6 -2 -13
11280 -5 -2 -15
11290 -3 -2 -13
11300 -3 -2 -12
11310 -4 -2 -13
11320 -3 0 -13
11330 -3 0 -14
11340 -6 -4 -15
