Name "YT Scope Project" 
File "H:\mscthesisgeert\MScThesisTemplate\Code\AGC_functions\dSPACE_TwinCAT_recordings\ScalingNoWM_meas.csv" 
"Starttime of export" 133020893269090000 "dinsdag 12 juli 2022" 10:48:46.909 
"Endtime of export" 133020898800590000 "dinsdag 12 juli 2022" 10:58:00.059 


Name y_r1[0] y_r1[1] y_r2[0] TriggerCA y_q[0] y_q[1] y_q[2] u_c[0] u_c[1]
2150 2.133255 5.49414063 0.9916382 1 -182 -180 972 0 0
2160 0.09429932 1.69354248 0.5805969 1 -180 -180 975 0 0
2170 1.73292542 3.069336 1.66711426 1 -181 -181 976 0 0
2180 0.06442261 2.854309 2.38745117 1 -182 -180 978 0 0
2190 2.88905334 0.929443359 2.15475464 1 -179 -180 976 0 0
2200 0.08226013 5.40905762 0.490219116 1 -176 -181 977 0 0
2210 2.26795959 1.36138916 0.6387024 1 -177 -180 977 0 0
2220 1.03111267 3.756775 0.7772522 1 -179 -180 976 0 0
2230 2.59344482 0.803405762 0.625167847 1 -177 -181 975 0 0
2240 1.74606323 2.2565918 0.4840088 1 -176 -182 973 0 0
2250 3.38807678 3.48120117 0.391922 1 -180 -183 975 0 0
2260 0.0135498047 1.46948242 0.697921753 1 -183 -183 976 0 0
2270 1.88851929 2.34625244 2.70076 1 -182 -180 976 0 0
2280 0.08653259 1.53283691 2.74943542 1 -181 -180 976 0 0
2290 2.13659668 1.24121094 1.69877625 1 -179 -180 975 0 0
2300 2.152069 2.45874023 1.79096985 1 -179 -180 975 0 0
2310 2.66072083 3.36328125 1.05706787 1 -183 -180 977 0 0
2320 0.714614868 0.361206055 0.8256836 1 -185 -178 976 0 0
2330 2.31526184 1.03405762 3.45573425 1 -183 -180 973 0 0
2340 1.65319824 2.73150635 2.60386658 1 -183 -180 973 0 0
2350 1.43888855 3.20275879 2.24411 1 -183 -180 975 0 0
2360 0.897522 1.22186279 0.6361542 1 -181 -181 973 0 0
2370 1.17803955 6.71521 1.42320251 1 -181 -182 975 0 0
2380 0.538269043 4.42767334 2.422104 1 -181 -181 973 0 0
2390 0.218917847 7.60150146 1.00923157 1 -180 -180 973 0 0
2400 0.720932 1.2467041 0.4658966 1 -180 -180 975 0 0
2410 0.888900757 4.717407 1.32321167 1 -181 -178 975 0 0
2420 1.53952026 0.372619629 3.831253 1 -180 -180 976 0 0
2430 2.63339233 4.260803 1.92547607 1 -181 -181 977 0 0
2440 3.984848 0.216064453 0.433624268 1 -179 -180 977 0 0
2450 3.77970886 1.76885986 0.142852783 1 -179 -180 975 0 0
2460 0.472808838 2.98291016 0.312408447 1 -182 -180 976 0 0
2470 0.3543396 1.95812988 0.9400635 1 -183 -181 977 0 0
2480 0.6877899 2.90179443 3.81748962 1 -183 -178 978 0 0
2490 1.728836 1.05126953 2.7875824 1 -181 -177 978 0 0
2500 1.66299438 0.6712036 0.3717804 1 -181 -178 976 0 0
2510 0.07632446 3.01330566 0.245773315 1 -182 -177 976 0 0
2520 0.06694031 0.9281006 5.83547974 1 -182 -182 976 0 0
2530 3.012146 1.80438232 3.38471985 1 -179 -184 975 0 0
2540 0.8291626 0.0512084961 4.3140564 1 -175 -178 973 0 0
2550 3.216385 3.53076172 3.192749 1 -176 -177 973 0 0
2560 0.552475 0.3319702 0.6894226 1 -177 -178 973 0 0
2570 6.04188538 3.2354126 1.01287842 1 -182 -178 973 0 0
2580 0.5138092 0.7342529 0.4163971 1 -188 -178 973 0 0
2590 2.27568054 5.117859 0.6751251 1 -188 -178 975 0 0
2600 3.60083 0.168334961 2.24287415 1 -184 -176 976 0 0
2610 1.73065186 3.53033447 3.55867 1 -183 -177 976 0 0
2620 5.22897339 0.481140137 1.46864319 1 -179 -178 976 0 0
2630 6.269104 3.13653564 4.25308228 1 -180 -181 976 0 0
2640 2.355011 0.229797363 2.05822754 1 -182 -183 975 0 0
2650 0.9757385 5.84613037 0.32699585 1 -181 -182 977 0 0
2660 0.436523438 1.64489746 2.213684 1 -181 -180 977 0 0
2670 0.654602051 4.097473 1.94137573 1 -181 -180 976 0 0
2680 1.2477417 0.9295044 1.37962341 1 -180 -180 977 0 0
2690 1.4823761 1.758728 1.27877808 1 -180 -180 976 0 0
2700 0.7717438 1.01300049 0.154663086 1 -180 -181 975 0 0
2710 1.975708 2.68481445 3.1933136 1 -181 -178 975 0 0
2720 1.49536133 2.20275879 0.288894653 1 -181 -175 976 0 0
2730 0.2992401 0.63671875 1.12783813 1 -180 -175 975 0 0
2740 2.89434814 1.02355957 0.1947174 1 -177 -175 973 0 0
2750 5.31069946 2.60906982 0.2649994 1 -179 -174 973 0 0
2760 0.8963623 1.22802734 3.18681335 1 -182 -176 973 0 0
2770 1.666626 2.53869629 2.25889587 1 -180 -176 973 0 0
2780 2.47161865 3.31341553 4.06234741 1 -176 -178 975 0 0
2790 3.090561 2.52703857 3.52331543 1 -176 -178 977 0 0
2800 2.43540955 3.23651123 0.633834839 1 -180 -176 979 0 0
2810 0.874099731 2.31121826 3.87750244 1 -183 -180 976 0 0
2820 0.5040436 2.748169 3.76293945 1 -184 -180 973 0 0
2830 1.42723083 3.21502686 2.53218079 1 -183 -180 975 0 0
2840 0.239105225 2.77044678 4.364319 1 -182 -178 977 0 0
2850 1.83587646 3.14697266 3.762558 1 -180 -178 979 0 0
2860 2.95025635 1.23693848 0.762832642 1 -181 -180 977 0 0
2870 0.179153442 3.73132324 0.345458984 1 -183 -180 976 0 0
